ID,School,Phase 2A(1) Vacancy,Applied,Applied %
1,CHIJ St. Nicholas Girls’,77,121,157%
2,Rosyth,81,102,126%
3,Pei Hwa Presbyterian,71,86,121%
4,Nanyang,140,150,107%
5,Catholic High,119,123,103%
6,Ai Tong,113,113,100%
7,Nan Hua,93,88,95%
8,Red Swastika,106,87,82%
9,Tao Nan,146,119,82%
10,Temasek,52,41,79%
11,Pei Chun Public,130,99,76%
12,Methodist Girls’,92,69,75%
13,Henry Park,124,92,74%
14,Rulang,96,71,74%
15,Anglo-Chinese (Primary),141,103,73%
16,Fairfield Methodist,106,75,71%
17,St. Hilda’s,97,67,69%
18,Anglo-Chinese (Junior),142,97,68%
19,Singapore Chinese Girls’,91,60,66%
20,Gongshang,62,37,60%
21,Holy Innocents’,101,46,46%
22,CHIJ (Toa Payoh),119,52,44%
23,Maris Stella High,177,73,41%
24,Radin Mas,78,30,38%
25,St. Andrew’s Junior,129,47,36%
26,Yu Neng,61,22,36%
27,South View,114,41,36%
28,Paya Lebar Methodist Girls’,157,56,36%
29,Maha Bodhi,160,55,34%
30,Chongfu,120,40,33%
31,St. Joseph’s Institution Junior,138,43,31%
32,Kong Hwa,101,31,31%
33,Raffles Girls’,166,45,27%
34,Northland,91,21,23%
35,Hong Wen,87,17,20%
36,Princess Elizabeth,68,13,19%
37,St. Margaret’s,100,19,19%
38,St. Anthony’s,90,17,19%
39,Bukit Panjang,103,17,17%
40,Nan Chiau,126,20,16%
41,CHIJ (Katong),114,16,14%
42,Haig Girls’,106,14,13%
43,Poi Ching,112,11,10%
44,Shuqun,77,6,8%
45,Kuo Chuan Presbyterian,118,9,8%
46,De La Salle,105,8,8%
47,Geylang Methodist,143,10,7%
48,Yangzheng,72,5,7%
49,Canossa Catholic,77,5,6%
50,St. Gabriel’s,82,5,6%
51,Mee Toh,139,7,5%
52,Kheng Cheng,75,3,4%
53,Woodgrove,67,2,3%
54,Pei Tong,188,5,3%
55,Telok Kurau,81,2,2%
56,Keming,82,2,2%
57,St. Stephen’s,152,3,2%
58,Casuarina,57,1,2%
59,Ngee Ann,114,2,2%
60,Pasir Ris,59,1,2%
61,Montfort Junior,120,2,2%
62,Jurong West,68,1,1%
63,Frontier,83,1,1%
64,Xinmin,83,1,1%
65,Anderson,84,1,1%
66,Zhangde,88,1,1%
67,Blangah Rise,92,1,1%
68,CHIJ Our Lady Queen of Peace,100,1,1%
69,Lakeside,100,1,1%
70,Tampines,104,1,1%
71,Bukit Timah,107,1,1%
72,Huamin,107,1,1%
73,Townsville,109,1,1%
74,Canberra,115,1,1%
75,Oasis,116,1,1%
76,Fern Green,121,1,1%
77,Qihua,121,1,1%
78,North View,122,1,1%
79,Punggol View,128,1,1%
80,Yew Tee,128,1,1%
81,St. Anthony’s Canossian,142,1,1%
82,Marymount Convent,156,1,1%
83,Corporation,158,1,1%
84,Admiralty,87,0,0%
85,Ahmad Ibrahim,130,0,0%
86,Alexandra,65,0,0%
87,Anchor Green,113,0,0%
88,Ang Mo Kio,152,0,0%
89,Angsana,162,0,0%
90,Beacon,128,0,0%
91,Bedok Green,177,0,0%
92,Bendemeer,141,0,0%
93,Boon Lay Garden,139,0,0%
94,Bukit View,137,0,0%
95,Cantonment,140,0,0%
96,Cedar,164,0,0%
97,Changkat,124,0,0%
98,CHIJ (Kellock),117,0,0%
99,CHIJ Our Lady of Good Counsel,67,0,0%
100,CHIJ Our Lady of The Nativity,146,0,0%
101,Chongzheng,53,0,0%
102,Chua Chu Kang,108,0,0%
103,Clementi,146,0,0%
104,Compassvale,109,0,0%
105,Concord,106,0,0%
106,Damai,167,0,0%
107,Dazhong,89,0,0%
108,East Spring,103,0,0%
109,Edgefield,100,0,0%
110,Elias Park,69,0,0%
111,Endeavour,126,0,0%
112,Evergreen,86,0,0%
113,Farrer Park,132,0,0%
114,Fengshan,70,0,0%
115,Fernvale,160,0,0%
116,First Toa Payoh,152,0,0%
117,Fuchun,97,0,0%
118,Fuhua,92,0,0%
119,Gan Eng Seng,130,0,0%
120,Greendale,181,0,0%
121,Greenridge,123,0,0%
122,Greenwood,119,0,0%
123,Horizon,62,0,0%
124,Hougang,89,0,0%
125,Innova,52,0,0%
126,Jiemin,116,0,0%
127,Jing Shan,56,0,0%
128,Junyuan,125,0,0%
129,Jurong,78,0,0%
130,Kranji,110,0,0%
131,Lianhua,149,0,0%
132,Marsiling,106,0,0%
133,Mayflower,103,0,0%
134,Meridian,115,0,0%
135,Naval Base,122,0,0%
136,New Town,193,0,0%
137,North Spring,132,0,0%
138,North Vista,157,0,0%
139,Northoaks,112,0,0%
140,Opera Estate,88,0,0%
141,Palm View,144,0,0%
142,Park View,87,0,0%
143,Peiying,104,0,0%
144,Punggol Cove,124,0,0%
145,Punggol Green,92,0,0%
146,Punggol,59,0,0%
147,Qifa,139,0,0%
148,Queenstown,107,0,0%
149,River Valley,78,0,0%
150,Riverside,89,0,0%
151,Rivervale,108,0,0%
152,Sembawang,74,0,0%
153,Seng Kang,168,0,0%
154,Sengkang Green,124,0,0%
155,Si Ling,72,0,0%
156,Springdale,100,0,0%
157,Tampines North,126,0,0%
158,Tanjong Katong,82,0,0%
159,Teck Ghee,93,0,0%
160,Teck Whye,144,0,0%
161,Unity,123,0,0%
162,Waterway,91,0,0%
163,Wellington,107,0,0%
164,West Grove,126,0,0%
165,West Spring,92,0,0%
166,West View,102,0,0%
167,Westwood,114,0,0%
168,White Sands,57,0,0%
169,Woodlands,76,0,0%
170,Woodlands Ring,120,0,0%
171,Xinghua,157,0,0%
172,Xingnan,188,0,0%
173,Xishan,90,0,0%
174,Yio Chu Kang,114,0,0%
175,Yishun,78,0,0%
176,Yuhua,150,0,0%
177,Yumin,82,0,0%
178,Zhenghua,122,0,0%
179,Zhonghua,110,0,0%
180,Valour,175,0,0%
181,Northshore,194,0,0%